flavor_id,family,flavor_name
truffle_cheesecake,truffle,Cheesecake
truffle_cookies_cream,truffle,Cookies & Cream
truffle_champagne,truffle,Champagne
truffle_creme_brulee,truffle,Crème Brûlée
truffle_tea_honey,truffle,Tea & Honey
truffle_confetti_cake,truffle,Confetti Cake
truffle_manhattan,truffle,Manhattan
truffle_brownie_batter,truffle,Brownie Batter
truffle_bananas_foster,truffle,Bananas Foster
truffle_raspberry,truffle,Raspberry
truffle_key_lime_pie,truffle,Key Lime Pie
truffle_pineapple_moscato,truffle,Pineapple & Moscato
truffle_lemon,truffle,Lemon
truffle_amaretto,truffle,Amaretto
truffle_dulce_de_leche,truffle,Dulce de Leche
truffle_espresso_martini,truffle,Espresso Martini
truffle_turtle,truffle,Turtle
truffle_salted_caramel,truffle,Salted Caramel
truffle_pistachio,truffle,Pistachio
truffle_peanut_butter_caramel,truffle,Peanut Butter Caramel
truffle_grey_salt_caramel,truffle,Grey Salt Caramel
truffle_blackberry_sangria,truffle,Blackberry Sangria
truffle_mint,truffle,Mint
truffle_creamsicle,truffle,Creamsicle
truffle_caramel_apple_cider,truffle,Caramel Apple Cider
truffle_s_mores,truffle,S'mores
truffle_maple_cream,truffle,Maple Cream
truffle_pumpkin_spice_latte,truffle,Pumpkin Spice Latte
truffle_peach_cobbler,truffle,Peach Cobbler
truffle_strawberry_shortcake,truffle,Strawberry Shortcake
cocoashot_amaretto,cocoashot,Amaretto
cocoashot_bourbon,cocoashot,Bourbon
cocoashot_chocolate_cake,cocoashot,Chocolate Cake
cocoashot_old_fashioned,cocoashot,Old Fashioned
cocoashot_tequila,cocoashot,Tequila
cocoashot_whiskey,cocoashot,Whiskey
