sample_id,file,source_file,flavor_id,family,flavor_name,annotation_mode,center_x,center_y,source_crop_size,crop_left,crop_top,crop_right,crop_bottom,padding_pixels,width,height,review_status,padding_fraction,blur_score,bright_fraction,dark_fraction,contrast,quality_flags,quality_status,review_decision,review_notes,source_relative_path,bundle_relative_path
IMG_1994_c025,IMG_1994_c025.jpg,IMG_1994.jpg,truffle_confetti_cake,truffle,Confetti Cake,regular_grid,425.52,3803.44,594,129,3506,723,4100,167,224,224,pending,0.2811,217.76,0.0009,0.0001,52.5,large_padding,review,reject,,data/chocolates/individual_candidates/truffle_confetti_cake/IMG_1994_c025.jpg,images/rejected/truffle_confetti_cake/IMG_1994_c025.jpg
IMG_1989_c001,IMG_1989_c001.jpg,IMG_1989.jpg,truffle_creamsicle,truffle,Creamsicle,regular_grid,241.96,1783.59,410,37,1579,447,1989,0,224,224,pending,0.0,26.9,0.3596,0.0,42.87,overexposed_or_glare,review,reject,Rejected during balanced audit: crop dominated by severe camera glare.,data/chocolates/individual_candidates/truffle_creamsicle/IMG_1989_c001.jpg,images/rejected/truffle_creamsicle/IMG_1989_c001.jpg
IMG_1972_c017,IMG_1972_c017.jpg,IMG_1972.jpg,truffle_espresso_martini,truffle,Espresso Martini,regular_grid,166.93,2891.43,530,-98,2626,432,3156,98,224,224,pending,0.1849,612.58,0.0009,0.1319,83.31,large_padding,review,reject,,data/chocolates/individual_candidates/truffle_espresso_martini/IMG_1972_c017.jpg,images/rejected/truffle_espresso_martini/IMG_1972_c017.jpg
IMG_1972_c021,IMG_1972_c021.jpg,IMG_1972.jpg,truffle_espresso_martini,truffle,Espresso Martini,regular_grid,139.86,3499.3,530,-125,3234,405,3764,125,224,224,pending,0.2358,508.71,0.0012,0.2438,82.89,large_padding,review,reject,,data/chocolates/individual_candidates/truffle_espresso_martini/IMG_1972_c021.jpg,images/rejected/truffle_espresso_martini/IMG_1972_c021.jpg
IMG_1995_c028,IMG_1995_c028.jpg,IMG_1995.jpg,truffle_key_lime_pie,truffle,Key Lime Pie,regular_grid,2256.7,3911.57,608,1953,3608,2561,4216,312,224,224,pending,0.4567,137.97,0.0001,0.0122,64.61,large_padding,review,reject,,data/chocolates/individual_candidates/truffle_key_lime_pie/IMG_1995_c028.jpg,images/rejected/truffle_key_lime_pie/IMG_1995_c028.jpg
IMG_1997_c001,IMG_1997_c001.jpg,IMG_1997.jpg,truffle_pineapple_moscato,truffle,Pineapple & Moscato,regular_grid,126.97,188.09,601,-174,-112,427,489,286,224,224,pending,0.4219,177.54,0.0,0.0001,30.26,large_padding,review,reject,,data/chocolates/individual_candidates/truffle_pineapple_moscato/IMG_1997_c001.jpg,images/rejected/truffle_pineapple_moscato/IMG_1997_c001.jpg
IMG_1997_c003,IMG_1997_c003.jpg,IMG_1997.jpg,truffle_pineapple_moscato,truffle,Pineapple & Moscato,regular_grid,1565.94,117.56,601,1265,-183,1866,418,183,224,224,pending,0.3045,250.85,0.0004,0.0,33.28,large_padding,review,reject,,data/chocolates/individual_candidates/truffle_pineapple_moscato/IMG_1997_c003.jpg,images/rejected/truffle_pineapple_moscato/IMG_1997_c003.jpg
IMG_1997_c004,IMG_1997_c004.jpg,IMG_1997.jpg,truffle_pineapple_moscato,truffle,Pineapple & Moscato,regular_grid,199.07,785.29,601,-101,485,500,1086,101,224,224,pending,0.1681,253.61,0.0002,0.0004,35.29,large_padding,review,reject,,data/chocolates/individual_candidates/truffle_pineapple_moscato/IMG_1997_c004.jpg,images/rejected/truffle_pineapple_moscato/IMG_1997_c004.jpg
IMG_1963_c028,IMG_1963_c028.jpg,IMG_1963.jpg,truffle_pumpkin_spice_latte,truffle,Pumpkin Spice Latte,irregular_manual,1448.67,3847.11,500,1199,3597,1699,4097,114,224,224,pending,0.228,243.4,0.0002,0.295,80.39,large_padding,review,reject,,data/chocolates/individual_candidates/truffle_pumpkin_spice_latte/IMG_1963_c028.jpg,images/rejected/truffle_pumpkin_spice_latte/IMG_1963_c028.jpg
IMG_1990_c006,IMG_1990_c006.jpg,IMG_1990.jpg,truffle_strawberry_shortcake,truffle,Strawberry Shortcake,regular_grid,989.33,1541.21,511,734,1286,1245,1797,0,224,224,pending,0.0,91.77,0.0,0.0105,17.8,low_contrast,review,reject,,data/chocolates/individual_candidates/truffle_strawberry_shortcake/IMG_1990_c006.jpg,images/rejected/truffle_strawberry_shortcake/IMG_1990_c006.jpg
