phase,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,seconds
head,1,0.629896558523178,0.77,0.8301231861114502,0.75,8.469098302070051
head,2,0.43534691333770753,0.83,0.7471879005432129,0.8,8.635989570990205
head,3,0.4261582684516907,0.86,0.6119137644767761,0.8,8.43481567595154
head,4,0.3185121202468872,0.94,0.6327670216560364,0.8,8.738852081354707
head,5,0.23622387230396272,0.99,0.571973729133606,0.8,8.625080418772995
head,6,0.2941878724098206,0.94,0.4487970232963562,0.95,8.003218616824597
head,7,0.2912789189815521,0.93,0.48323644399642945,0.9,8.456079443916678
head,8,0.24796878457069396,0.99,0.5639439582824707,0.85,8.387061510235071
head,9,0.16811859846115113,1.0,0.40783061981201174,0.95,8.04372548405081
head,10,0.2012508988380432,0.98,0.4807285189628601,0.85,8.51927942642942
head,11,0.28177969813346865,0.96,0.41870797872543336,0.95,8.35963738989085
head,12,0.1709597772359848,1.0,0.3867489218711853,0.95,7.8937948741950095
fine,1,0.15359551727771759,0.99,0.40898406505584717,0.9,8.455746357794851
fine,2,0.16996834725141524,1.0,0.4257154703140259,0.95,8.550063715316355
fine,3,0.1600414389371872,0.99,0.4849141240119934,0.8,8.675168368034065
fine,4,0.1361199301481247,1.0,0.36716150045394896,0.95,8.45805711299181
fine,5,0.14681299269199372,0.99,0.41176203489303587,0.85,8.636492754332721
fine,6,0.16967555195093154,0.99,0.39938859939575194,0.95,8.40136002516374
fine,7,0.14686525166034697,1.0,0.3989035725593567,0.95,8.791521462611854
fine,8,0.14269063770771026,1.0,0.3724990725517273,0.95,8.573841589968652
fine,9,0.15969404637813567,0.99,0.35009562969207764,0.95,8.85259903781116
fine,10,0.13744538962841035,1.0,0.3447990298271179,1.0,8.553218928165734
fine,11,0.1393528962135315,1.0,0.41193323135375975,0.95,8.304764083120972
fine,12,0.1399610620737076,1.0,0.4196491718292236,0.9,8.327534790616482
fine,13,0.13363929390907286,1.0,0.3964230060577393,0.9,8.798496349714696
fine,14,0.14151174426078797,1.0,0.41837469339370725,0.85,8.66530139092356
fine,15,0.1452086865901947,1.0,0.4061895489692688,0.9,8.309281783178449
fine,16,0.13949029475450517,1.0,0.35892401933670043,0.95,8.50893697841093
