image,source_file,box_size,kind,corners,class_index,split
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2019.jpg,IMG_2019.jpg,6,original_empty,"[[181.44000244140625, 924.8099975585938], [1252.800048828125, 1084.7099609375], [1239.8399658203125, 2605.889892578125], [172.8000030517578, 2709.610107421875]]",0,train
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2020.jpg,IMG_2020.jpg,6,original_empty,"[[492.4800109863281, 985.3099975585938], [1421.280029296875, 1024.2099609375], [1486.0799560546875, 2402.780029296875], [496.79998779296875, 2480.570068359375]]",0,train
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2021.jpg,IMG_2021.jpg,6,original_empty,"[[851.0399780273438, 1188.4200439453125], [1736.6400146484375, 1214.3499755859375], [1771.199951171875, 2549.7099609375], [881.280029296875, 2631.820068359375]]",0,validation
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2022.jpg,IMG_2022.jpg,16,original_empty,"[[95.04000091552734, 1089.030029296875], [1477.43994140625, 1145.2099609375], [1442.8800048828125, 2497.85009765625], [30.239999771118164, 2519.4599609375]]",2,train
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2023.jpg,IMG_2023.jpg,16,original_empty,"[[108.0, 1110.6400146484375], [1490.4000244140625, 1166.8199462890625], [1473.1199951171875, 2554.030029296875], [56.15999984741211, 2510.820068359375]]",2,train
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2024.jpg,IMG_2024.jpg,16,original_empty,"[[738.719970703125, 821.0900268554688], [2583.360107421875, 1037.1700439453125], [2518.56005859375, 2852.219970703125], [695.52001953125, 2999.14990234375]]",2,train
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2025.jpg,IMG_2025.jpg,16,original_empty,"[[393.1199951171875, 406.2300109863281], [2579.0400390625, 786.52001953125], [2531.52001953125, 2947.2900390625], [384.4800109863281, 3293.02001953125]]",2,train
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2026.jpg,IMG_2026.jpg,16,original_empty,"[[354.239990234375, 1123.5999755859375], [1684.800048828125, 1218.6800537109375], [1676.1600341796875, 2484.889892578125], [375.8399963378906, 2554.030029296875]]",2,validation
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2027.jpg,IMG_2027.jpg,30,original_empty,"[[457.9200134277344, 946.4199829101562], [1939.6800537109375, 976.6699829101562], [1909.43994140625, 2705.2900390625], [453.6000061035156, 2709.610107421875]]",3,train
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2028.jpg,IMG_2028.jpg,30,original_empty,"[[1006.5599975585938, 721.7000122070312], [2980.800048828125, 847.02001953125], [2920.320068359375, 3228.18994140625], [889.9199829101562, 3254.1201171875]]",3,train
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2029.jpg,IMG_2029.jpg,30,original_empty,"[[635.0399780273438, 609.3400268554688], [2583.360107421875, 872.9500122070312], [2509.919921875, 3163.3701171875], [531.3599853515625, 3327.590087890625]]",3,train
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2030.jpg,IMG_2030.jpg,30,original_empty,"[[686.8800048828125, 388.94000244140625], [2704.320068359375, 773.5599975585938], [2717.280029296875, 3241.159912109375], [721.4400024414062, 3681.9599609375]]",3,validation
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2031.jpg,IMG_2031.jpg,50,original_empty,"[[864.0, 151.25], [2527.199951171875, 324.1199951171875], [2561.760009765625, 3599.85009765625], [915.8400268554688, 3876.419921875]]",4,train
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2032.jpg,IMG_2032.jpg,50,original_empty,"[[488.1600036621094, 95.06999969482422], [1991.52001953125, 384.6199951171875], [2064.9599609375, 3336.22998046875], [656.6400146484375, 3738.139892578125]]",4,train
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2033.jpg,IMG_2033.jpg,50,original_empty,"[[578.8800048828125, 401.8999938964844], [2047.6800537109375, 406.2300109863281], [2108.159912109375, 3323.27001953125], [622.0800170898438, 3383.77001953125]]",4,train
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2034.jpg,IMG_2034.jpg,50,original_empty,"[[691.2000122070312, 254.97000122070312], [2043.3599853515625, 337.0799865722656], [1922.4000244140625, 2960.260009765625], [570.239990234375, 2968.89990234375]]",4,validation
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2035.jpg,IMG_2035.jpg,10,original_empty,"[[163.83999633789062, 360.79998779296875], [734.719970703125, 481.07000732421875], [727.0399780273438, 1850.0799560546875], [166.39999389648438, 1972.9000244140625]]",1,train
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2036.jpg,IMG_2036.jpg,10,original_empty,"[[355.8399963378906, 511.7799987792969], [870.4000244140625, 519.4500122070312], [811.52001953125, 1855.18994140625], [110.08000183105469, 1839.8399658203125]]",1,validation
/homes/mxqasim/Chocolathon/data/boxes/raw/IMG_2037.jpg,IMG_2037.jpg,10,original_empty,"[[260.6400146484375, 394.20001220703125], [470.0799865722656, 423.69000244140625], [471.6300048828125, 952.9199829101562], [254.42999267578125, 990.1599731445312]]",1,train
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2019_size6_render00.jpg,IMG_2019.jpg,6,synthetic_v4,"[[181.44000244140625, 924.8099975585938], [1252.800048828125, 1084.7099609375], [1239.8399658203125, 2605.889892578125], [172.8000030517578, 2709.610107421875]]",0,train
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2019_size6_render01.jpg,IMG_2019.jpg,6,synthetic_v4,"[[181.44000244140625, 924.8099975585938], [1252.800048828125, 1084.7099609375], [1239.8399658203125, 2605.889892578125], [172.8000030517578, 2709.610107421875]]",0,train
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2019_size6_render02.jpg,IMG_2019.jpg,6,synthetic_v4,"[[181.44000244140625, 924.8099975585938], [1252.800048828125, 1084.7099609375], [1239.8399658203125, 2605.889892578125], [172.8000030517578, 2709.610107421875]]",0,train
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2020_size6_render00.jpg,IMG_2020.jpg,6,synthetic_v4,"[[492.4800109863281, 985.3099975585938], [1421.280029296875, 1024.2099609375], [1486.0799560546875, 2402.780029296875], [496.79998779296875, 2480.570068359375]]",0,train
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2020_size6_render01.jpg,IMG_2020.jpg,6,synthetic_v4,"[[492.4800109863281, 985.3099975585938], [1421.280029296875, 1024.2099609375], [1486.0799560546875, 2402.780029296875], [496.79998779296875, 2480.570068359375]]",0,train
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2020_size6_render02.jpg,IMG_2020.jpg,6,synthetic_v4,"[[492.4800109863281, 985.3099975585938], [1421.280029296875, 1024.2099609375], [1486.0799560546875, 2402.780029296875], [496.79998779296875, 2480.570068359375]]",0,train
