class_index,flavor_id,family,flavor_name,samples,source_trays
0,cocoashot_amaretto,cocoashot,Amaretto,12,1
1,cocoashot_bourbon,cocoashot,Bourbon,32,2
2,cocoashot_chocolate_cake,cocoashot,Chocolate Cake,16,1
3,cocoashot_old_fashioned,cocoashot,Old Fashioned,24,1
4,cocoashot_tequila,cocoashot,Tequila,44,2
5,cocoashot_whiskey,cocoashot,Whiskey,16,1
6,truffle_amaretto,truffle,Amaretto,28,1
7,truffle_bananas_foster,truffle,Bananas Foster,30,1
8,truffle_brownie_batter,truffle,Brownie Batter,24,1
9,truffle_caramel_apple_cider,truffle,Caramel Apple Cider,24,1
10,truffle_champagne,truffle,Champagne,24,1
11,truffle_cheesecake,truffle,Cheesecake,28,1
12,truffle_confetti_cake,truffle,Confetti Cake,27,1
13,truffle_cookies_cream,truffle,Cookies & Cream,28,1
14,truffle_creamsicle,truffle,Creamsicle,55,2
15,truffle_creme_brulee,truffle,Crème Brûlée,28,1
16,truffle_dulce_de_leche,truffle,Dulce de Leche,29,1
17,truffle_espresso_martini,truffle,Espresso Martini,22,1
18,truffle_grey_salt_caramel,truffle,Grey Salt Caramel,16,1
19,truffle_key_lime_pie,truffle,Key Lime Pie,27,1
20,truffle_lemon,truffle,Lemon,20,1
21,truffle_manhattan,truffle,Manhattan,30,1
22,truffle_maple_cream,truffle,Maple Cream,24,1
23,truffle_peanut_butter_caramel,truffle,Peanut Butter Caramel,28,1
24,truffle_pineapple_moscato,truffle,Pineapple & Moscato,18,1
25,truffle_pistachio,truffle,Pistachio,24,1
26,truffle_pumpkin_spice_latte,truffle,Pumpkin Spice Latte,28,1
27,truffle_raspberry,truffle,Raspberry,24,1
28,truffle_s_mores,truffle,S'mores,52,2
29,truffle_salted_caramel,truffle,Salted Caramel,28,1
30,truffle_strawberry_shortcake,truffle,Strawberry Shortcake,23,1
31,truffle_tea_honey,truffle,Tea & Honey,32,1
32,truffle_turtle,truffle,Turtle,24,1
