test_box_id,empty_source_file,box_size,row,column,sample_id,image_path,true_flavor_id,true_flavor_name,label_type
IMG_2020,IMG_2020.jpg,6,1,1,IMG_2020_r01_c01,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2020_r01_c01.jpg,empty,Empty,empty
IMG_2020,IMG_2020.jpg,6,1,2,truffle_cookies_cream_0085,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_cookies_cream/truffle_cookies_cream_0085.jpg,truffle_cookies_cream,Cookies & Cream,occupied
IMG_2020,IMG_2020.jpg,6,2,1,truffle_pistachio_0089,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_pistachio/truffle_pistachio_0089.jpg,truffle_pistachio,Pistachio,occupied
IMG_2020,IMG_2020.jpg,6,2,2,truffle_lemon_0089,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_lemon/truffle_lemon_0089.jpg,truffle_lemon,Lemon,occupied
IMG_2020,IMG_2020.jpg,6,3,1,IMG_2020_r03_c01,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2020_r03_c01.jpg,empty,Empty,empty
IMG_2020,IMG_2020.jpg,6,3,2,IMG_2020_r03_c02,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/6/IMG_2020_r03_c02.jpg,empty,Empty,empty
IMG_2023,IMG_2023.jpg,16,1,1,truffle_tea_honey_0086,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_tea_honey/truffle_tea_honey_0086.jpg,truffle_tea_honey,Tea & Honey,occupied
IMG_2023,IMG_2023.jpg,16,1,2,truffle_manhattan_0082,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_manhattan/truffle_manhattan_0082.jpg,truffle_manhattan,Manhattan,occupied
IMG_2023,IMG_2023.jpg,16,1,3,IMG_2023_r01_c03,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2023_r01_c03.jpg,empty,Empty,empty
IMG_2023,IMG_2023.jpg,16,1,4,cocoashot_whiskey_0086,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/cocoashot_whiskey/cocoashot_whiskey_0086.jpg,cocoashot_whiskey,Whiskey,occupied
IMG_2023,IMG_2023.jpg,16,2,1,IMG_2023_r02_c01,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2023_r02_c01.jpg,empty,Empty,empty
IMG_2023,IMG_2023.jpg,16,2,2,truffle_creamsicle_0090,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_creamsicle/truffle_creamsicle_0090.jpg,truffle_creamsicle,Creamsicle,occupied
IMG_2023,IMG_2023.jpg,16,2,3,truffle_champagne_0094,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_champagne/truffle_champagne_0094.jpg,truffle_champagne,Champagne,occupied
IMG_2023,IMG_2023.jpg,16,2,4,truffle_turtle_0082,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_turtle/truffle_turtle_0082.jpg,truffle_turtle,Turtle,occupied
IMG_2023,IMG_2023.jpg,16,3,1,truffle_pumpkin_spice_latte_0098,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_pumpkin_spice_latte/truffle_pumpkin_spice_latte_0098.jpg,truffle_pumpkin_spice_latte,Pumpkin Spice Latte,occupied
IMG_2023,IMG_2023.jpg,16,3,2,IMG_2023_r03_c02,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2023_r03_c02.jpg,empty,Empty,empty
IMG_2023,IMG_2023.jpg,16,3,3,cocoashot_chocolate_cake_0098,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/cocoashot_chocolate_cake/cocoashot_chocolate_cake_0098.jpg,cocoashot_chocolate_cake,Chocolate Cake,occupied
IMG_2023,IMG_2023.jpg,16,3,4,IMG_2023_r03_c04,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2023_r03_c04.jpg,empty,Empty,empty
IMG_2023,IMG_2023.jpg,16,4,1,IMG_2023_r04_c01,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/16/IMG_2023_r04_c01.jpg,empty,Empty,empty
IMG_2023,IMG_2023.jpg,16,4,2,truffle_turtle_0094,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_turtle/truffle_turtle_0094.jpg,truffle_turtle,Turtle,occupied
IMG_2023,IMG_2023.jpg,16,4,3,truffle_cheesecake_0086,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_cheesecake/truffle_cheesecake_0086.jpg,truffle_cheesecake,Cheesecake,occupied
IMG_2023,IMG_2023.jpg,16,4,4,cocoashot_amaretto_0098,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/cocoashot_amaretto/cocoashot_amaretto_0098.jpg,cocoashot_amaretto,Amaretto,occupied
IMG_2030,IMG_2030.jpg,30,1,1,truffle_s_mores_0095,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_s_mores/truffle_s_mores_0095.jpg,truffle_s_mores,S'mores,occupied
IMG_2030,IMG_2030.jpg,30,1,2,IMG_2030_r01_c02,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/30/IMG_2030_r01_c02.jpg,empty,Empty,empty
IMG_2030,IMG_2030.jpg,30,1,3,truffle_lemon_0083,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_lemon/truffle_lemon_0083.jpg,truffle_lemon,Lemon,occupied
IMG_2030,IMG_2030.jpg,30,1,4,cocoashot_old_fashioned_0091,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/cocoashot_old_fashioned/cocoashot_old_fashioned_0091.jpg,cocoashot_old_fashioned,Old Fashioned,occupied
IMG_2030,IMG_2030.jpg,30,1,5,truffle_cheesecake_0091,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_cheesecake/truffle_cheesecake_0091.jpg,truffle_cheesecake,Cheesecake,occupied
IMG_2030,IMG_2030.jpg,30,2,1,truffle_maple_cream_0095,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_maple_cream/truffle_maple_cream_0095.jpg,truffle_maple_cream,Maple Cream,occupied
IMG_2030,IMG_2030.jpg,30,2,2,truffle_creme_brulee_0091,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_creme_brulee/truffle_creme_brulee_0091.jpg,truffle_creme_brulee,Crème Brûlée,occupied
IMG_2030,IMG_2030.jpg,30,2,3,truffle_tea_honey_0091,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_tea_honey/truffle_tea_honey_0091.jpg,truffle_tea_honey,Tea & Honey,occupied
IMG_2030,IMG_2030.jpg,30,2,4,IMG_2030_r02_c04,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/30/IMG_2030_r02_c04.jpg,empty,Empty,empty
IMG_2030,IMG_2030.jpg,30,2,5,truffle_key_lime_pie_0091,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_key_lime_pie/truffle_key_lime_pie_0091.jpg,truffle_key_lime_pie,Key Lime Pie,occupied
IMG_2030,IMG_2030.jpg,30,3,1,truffle_raspberry_0095,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_raspberry/truffle_raspberry_0095.jpg,truffle_raspberry,Raspberry,occupied
IMG_2030,IMG_2030.jpg,30,3,2,IMG_2030_r03_c02,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/30/IMG_2030_r03_c02.jpg,empty,Empty,empty
IMG_2030,IMG_2030.jpg,30,3,3,truffle_raspberry_0099,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_raspberry/truffle_raspberry_0099.jpg,truffle_raspberry,Raspberry,occupied
IMG_2030,IMG_2030.jpg,30,3,4,truffle_amaretto_0083,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_amaretto/truffle_amaretto_0083.jpg,truffle_amaretto,Amaretto,occupied
IMG_2030,IMG_2030.jpg,30,3,5,truffle_maple_cream_0087,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_maple_cream/truffle_maple_cream_0087.jpg,truffle_maple_cream,Maple Cream,occupied
IMG_2030,IMG_2030.jpg,30,4,1,truffle_strawberry_shortcake_0099,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_strawberry_shortcake/truffle_strawberry_shortcake_0099.jpg,truffle_strawberry_shortcake,Strawberry Shortcake,occupied
IMG_2030,IMG_2030.jpg,30,4,2,IMG_2030_r04_c02,/homes/mxqasim/Chocolathon/data/boxes/slots/empty/30/IMG_2030_r04_c02.jpg,empty,Empty,empty
IMG_2030,IMG_2030.jpg,30,4,3,cocoashot_whiskey_0095,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/cocoashot_whiskey/cocoashot_whiskey_0095.jpg,cocoashot_whiskey,Whiskey,occupied
IMG_2030,IMG_2030.jpg,30,4,4,truffle_creamsicle_0083,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_creamsicle/truffle_creamsicle_0083.jpg,truffle_creamsicle,Creamsicle,occupied
IMG_2030,IMG_2030.jpg,30,4,5,truffle_raspberry_0091,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_raspberry/truffle_raspberry_0091.jpg,truffle_raspberry,Raspberry,occupied
IMG_2030,IMG_2030.jpg,30,5,1,truffle_lemon_0095,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_lemon/truffle_lemon_0095.jpg,truffle_lemon,Lemon,occupied
IMG_2030,IMG_2030.jpg,30,5,2,truffle_bananas_foster_0099,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/validation/truffle_bananas_foster/truffle_bananas_foster_0099.jpg,truffle_bananas_foster,Bananas Foster,occupied
