embedding_row,sample_id,relative_path,split,label_type,flavor_id,flavor_name,donor_sample_id,donor_source_file,extraction_method,empty_slot_file,empty_source_file,box_size,target_side,offset_x,offset_y,seed,image_path
0,cocoashot_amaretto_0001,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0001.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2021_r02_c02.jpg,IMG_2021.jpg,6,180,24,13,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0001.jpg
1,cocoashot_amaretto_0002,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0002.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2025_r03_c03.jpg,IMG_2025.jpg,16,175,31,15,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0002.jpg
2,cocoashot_amaretto_0003,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0003.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r02_c01.jpg,IMG_2027.jpg,30,146,48,30,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0003.jpg
3,cocoashot_amaretto_0004,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0004.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2033_r08_c01.jpg,IMG_2033.jpg,50,157,41,38,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0004.jpg
4,cocoashot_amaretto_0005,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0005.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2021_r01_c01.jpg,IMG_2021.jpg,6,181,31,13,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0005.jpg
5,cocoashot_amaretto_0006,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0006.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2025_r01_c04.jpg,IMG_2025.jpg,16,153,38,26,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0006.jpg
6,cocoashot_amaretto_0007,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0007.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r03_c01.jpg,IMG_2027.jpg,30,152,45,29,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0007.jpg
7,cocoashot_amaretto_0008,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0008.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r06_c01.jpg,IMG_2031.jpg,50,180,35,14,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0008.jpg
8,cocoashot_amaretto_0009,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0009.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2021_r01_c01.jpg,IMG_2021.jpg,6,174,24,28,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0009.jpg
9,cocoashot_amaretto_0010,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0010.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2024_r01_c03.jpg,IMG_2024.jpg,16,181,23,20,20260917,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0010.jpg
