image,source_file,box_size,render_index,row,column,slot_file,sample_id,flavor_id,flavor_name,label_type,image_path
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,1,1,IMG_2027_r01_c01.jpg,truffle_confetti_cake_0075,truffle_confetti_cake,Confetti Cake,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_confetti_cake/truffle_confetti_cake_0075.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,1,2,IMG_2027_r01_c02.jpg,truffle_caramel_apple_cider_0043,truffle_caramel_apple_cider,Caramel Apple Cider,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_caramel_apple_cider/truffle_caramel_apple_cider_0043.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,1,3,IMG_2027_r01_c03.jpg,cocoashot_whiskey_0051,cocoashot_whiskey,Whiskey,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_whiskey/cocoashot_whiskey_0051.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,1,4,IMG_2027_r01_c04.jpg,truffle_creme_brulee_0063,truffle_creme_brulee,Crème Brûlée,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_creme_brulee/truffle_creme_brulee_0063.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,1,5,IMG_2027_r01_c05.jpg,truffle_bananas_foster_0019,truffle_bananas_foster,Bananas Foster,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_bananas_foster/truffle_bananas_foster_0019.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,2,1,IMG_2027_r02_c01.jpg,truffle_caramel_apple_cider_0003,truffle_caramel_apple_cider,Caramel Apple Cider,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_caramel_apple_cider/truffle_caramel_apple_cider_0003.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,2,2,IMG_2027_r02_c02.jpg,truffle_brownie_batter_0039,truffle_brownie_batter,Brownie Batter,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_brownie_batter/truffle_brownie_batter_0039.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,2,3,IMG_2027_r02_c03.jpg,cocoashot_whiskey_0039,cocoashot_whiskey,Whiskey,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_whiskey/cocoashot_whiskey_0039.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,2,4,IMG_2027_r02_c04.jpg,truffle_amaretto_0027,truffle_amaretto,Amaretto,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_amaretto/truffle_amaretto_0027.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,2,5,IMG_2027_r02_c05.jpg,truffle_cookies_cream_0027,truffle_cookies_cream,Cookies & Cream,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_cookies_cream/truffle_cookies_cream_0027.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,3,1,IMG_2027_r03_c01.jpg,truffle_strawberry_shortcake_0027,truffle_strawberry_shortcake,Strawberry Shortcake,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_strawberry_shortcake/truffle_strawberry_shortcake_0027.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,3,2,IMG_2027_r03_c02.jpg,truffle_caramel_apple_cider_0035,truffle_caramel_apple_cider,Caramel Apple Cider,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_caramel_apple_cider/truffle_caramel_apple_cider_0035.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,3,3,IMG_2027_r03_c03.jpg,truffle_espresso_martini_0007,truffle_espresso_martini,Espresso Martini,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_espresso_martini/truffle_espresso_martini_0007.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,3,4,IMG_2027_r03_c04.jpg,truffle_amaretto_0063,truffle_amaretto,Amaretto,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_amaretto/truffle_amaretto_0063.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,3,5,IMG_2027_r03_c05.jpg,truffle_pumpkin_spice_latte_0067,truffle_pumpkin_spice_latte,Pumpkin Spice Latte,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_pumpkin_spice_latte/truffle_pumpkin_spice_latte_0067.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,4,1,IMG_2027_r04_c01.jpg,cocoashot_old_fashioned_0079,cocoashot_old_fashioned,Old Fashioned,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/cocoashot_old_fashioned/cocoashot_old_fashioned_0079.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,4,2,IMG_2027_r04_c02.jpg,truffle_maple_cream_0043,truffle_maple_cream,Maple Cream,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_maple_cream/truffle_maple_cream_0043.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,4,3,IMG_2027_r04_c03.jpg,truffle_tea_honey_0047,truffle_tea_honey,Tea & Honey,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_tea_honey/truffle_tea_honey_0047.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,4,4,IMG_2027_r04_c04.jpg,truffle_brownie_batter_0023,truffle_brownie_batter,Brownie Batter,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_brownie_batter/truffle_brownie_batter_0023.jpg
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2027_size30_render02.jpg,IMG_2027.jpg,30,2,4,5,IMG_2027_r04_c05.jpg,truffle_dulce_de_leche_0035,truffle_dulce_de_leche,Dulce de Leche,occupied,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/dataset/images/train/truffle_dulce_de_leche/truffle_dulce_de_leche_0035.jpg
