sample_id,relative_path,split,label_type,flavor_id,flavor_name,donor_sample_id,donor_source_file,extraction_method,empty_slot_file,empty_source_file,box_size,target_side,offset_x,offset_y,seed
cocoashot_amaretto_0001,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0001.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2021_r02_c02.jpg,IMG_2021.jpg,6,180,24,13,20260917
cocoashot_amaretto_0002,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0002.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2025_r03_c03.jpg,IMG_2025.jpg,16,175,31,15,20260917
cocoashot_amaretto_0003,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0003.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r02_c01.jpg,IMG_2027.jpg,30,146,48,30,20260917
cocoashot_amaretto_0004,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0004.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2033_r08_c01.jpg,IMG_2033.jpg,50,157,41,38,20260917
cocoashot_amaretto_0005,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0005.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2021_r01_c01.jpg,IMG_2021.jpg,6,181,31,13,20260917
cocoashot_amaretto_0006,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0006.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2025_r01_c04.jpg,IMG_2025.jpg,16,153,38,26,20260917
cocoashot_amaretto_0007,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0007.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r03_c01.jpg,IMG_2027.jpg,30,152,45,29,20260917
cocoashot_amaretto_0008,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0008.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r06_c01.jpg,IMG_2031.jpg,50,180,35,14,20260917
cocoashot_amaretto_0009,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0009.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2021_r01_c01.jpg,IMG_2021.jpg,6,174,24,28,20260917
cocoashot_amaretto_0010,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0010.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2024_r01_c03.jpg,IMG_2024.jpg,16,181,23,20,20260917
cocoashot_amaretto_0011,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0011.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r03_c01.jpg,IMG_2027.jpg,30,181,32,17,20260917
cocoashot_amaretto_0012,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0012.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2032_r07_c01.jpg,IMG_2032.jpg,50,176,37,22,20260917
cocoashot_amaretto_0013,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0013.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2021_r03_c01.jpg,IMG_2021.jpg,6,149,36,37,20260917
cocoashot_amaretto_0014,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0014.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2026_r03_c02.jpg,IMG_2026.jpg,16,171,28,21,20260917
cocoashot_amaretto_0015,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0015.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r04_c01.jpg,IMG_2027.jpg,30,171,31,34,20260917
cocoashot_amaretto_0016,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0016.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r05_c05.jpg,IMG_2031.jpg,50,147,41,29,20260917
cocoashot_amaretto_0017,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0017.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2019_r01_c02.jpg,IMG_2019.jpg,6,167,41,35,20260917
cocoashot_amaretto_0018,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0018.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2026_r03_c01.jpg,IMG_2026.jpg,16,150,43,45,20260917
cocoashot_amaretto_0019,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0019.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2028_r06_c04.jpg,IMG_2028.jpg,30,182,22,17,20260917
cocoashot_amaretto_0020,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0020.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2032_r02_c05.jpg,IMG_2032.jpg,50,149,39,44,20260917
cocoashot_amaretto_0021,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0021.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2021_r03_c02.jpg,IMG_2021.jpg,6,179,23,26,20260917
cocoashot_amaretto_0022,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0022.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2026_r02_c01.jpg,IMG_2026.jpg,16,150,33,41,20260917
cocoashot_amaretto_0023,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0023.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2028_r04_c05.jpg,IMG_2028.jpg,30,157,36,30,20260917
cocoashot_amaretto_0024,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0024.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r07_c03.jpg,IMG_2031.jpg,50,159,30,25,20260917
cocoashot_amaretto_0025,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0025.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2019_r02_c02.jpg,IMG_2019.jpg,6,156,44,41,20260917
cocoashot_amaretto_0026,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0026.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2024_r01_c04.jpg,IMG_2024.jpg,16,152,43,38,20260917
cocoashot_amaretto_0027,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0027.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r06_c03.jpg,IMG_2027.jpg,30,146,33,46,20260917
cocoashot_amaretto_0028,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0028.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r04_c02.jpg,IMG_2031.jpg,50,163,37,21,20260917
cocoashot_amaretto_0029,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0029.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2019_r02_c01.jpg,IMG_2019.jpg,6,176,31,25,20260917
cocoashot_amaretto_0030,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0030.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2024_r01_c02.jpg,IMG_2024.jpg,16,160,36,28,20260917
cocoashot_amaretto_0031,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0031.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r06_c01.jpg,IMG_2027.jpg,30,167,34,35,20260917
cocoashot_amaretto_0032,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0032.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r08_c02.jpg,IMG_2031.jpg,50,152,47,33,20260917
cocoashot_amaretto_0033,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0033.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2019_r03_c02.jpg,IMG_2019.jpg,6,185,33,12,20260917
cocoashot_amaretto_0034,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0034.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2026_r01_c02.jpg,IMG_2026.jpg,16,184,29,17,20260917
cocoashot_amaretto_0035,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0035.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r03_c03.jpg,IMG_2027.jpg,30,185,19,23,20260917
cocoashot_amaretto_0036,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0036.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r02_c02.jpg,IMG_2031.jpg,50,148,49,30,20260917
cocoashot_amaretto_0037,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0037.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2019_r01_c02.jpg,IMG_2019.jpg,6,176,31,20,20260917
cocoashot_amaretto_0038,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0038.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2026_r04_c01.jpg,IMG_2026.jpg,16,162,29,28,20260917
cocoashot_amaretto_0039,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0039.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2029_r01_c03.jpg,IMG_2029.jpg,30,164,28,23,20260917
cocoashot_amaretto_0040,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0040.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r09_c05.jpg,IMG_2031.jpg,50,182,32,12,20260917
cocoashot_amaretto_0041,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0041.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2019_r03_c01.jpg,IMG_2019.jpg,6,173,21,28,20260917
cocoashot_amaretto_0042,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0042.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2022_r02_c02.jpg,IMG_2022.jpg,16,168,23,25,20260917
cocoashot_amaretto_0043,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0043.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2027_r04_c04.jpg,IMG_2027.jpg,30,161,25,38,20260917
cocoashot_amaretto_0044,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0044.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2031_r03_c02.jpg,IMG_2031.jpg,50,160,28,31,20260917
cocoashot_amaretto_0045,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0045.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2021_r02_c01.jpg,IMG_2021.jpg,6,174,33,26,20260917
cocoashot_amaretto_0046,data/synthetic_slots/v1/dataset/images/train/cocoashot_amaretto/cocoashot_amaretto_0046.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2025_r03_c04.jpg,IMG_2025.jpg,16,172,30,19,20260917
