sample_id,file,source_file,flavor_id,family,flavor_name,annotation_mode,center_x,center_y,source_crop_size,crop_left,crop_top,crop_right,crop_bottom,padding_pixels,width,height,review_status,padding_fraction,blur_score,bright_fraction,dark_fraction,contrast,quality_flags,quality_status,review_decision,review_notes,source_relative_path,bundle_relative_path,donor_score,donor_rank
IMG_1978_c008,IMG_1978_c008.jpg,IMG_1978.jpg,cocoashot_amaretto,cocoashot,Amaretto,regular_grid,1431.69,655.5,431,1216,440,1647,871,0,224,224,pending,0.0,499.95,0.0013,0.0003,60.21,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_amaretto/IMG_1978_c008.jpg,images/accepted/cocoashot_amaretto/IMG_1978_c008.jpg,84.94602518282109,1
IMG_1978_c007,IMG_1978_c007.jpg,IMG_1978.jpg,cocoashot_amaretto,cocoashot,Amaretto,regular_grid,1000.55,658.95,431,785,443,1216,874,0,224,224,pending,0.0,517.95,0.0022,0.0,59.48,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_amaretto/IMG_1978_c007.jpg,images/accepted/cocoashot_amaretto/IMG_1978_c007.jpg,84.26723015764519,2
IMG_1978_c011,IMG_1978_c011.jpg,IMG_1978.jpg,cocoashot_amaretto,cocoashot,Amaretto,regular_grid,1015.62,1115.35,431,800,900,1231,1331,0,224,224,pending,0.0,344.86,0.0024,0.0002,60.43,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_amaretto/IMG_1978_c011.jpg,images/accepted/cocoashot_amaretto/IMG_1978_c011.jpg,83.5741362755911,3
IMG_1978_c012,IMG_1978_c012.jpg,IMG_1978.jpg,cocoashot_amaretto,cocoashot,Amaretto,regular_grid,1457.54,1111.9,431,1242,896,1673,1327,0,224,224,pending,0.0,367.32,0.0014,0.0,55.7,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_amaretto/IMG_1978_c012.jpg,images/accepted/cocoashot_amaretto/IMG_1978_c012.jpg,79.19580850213407,4
IMG_1978_c006,IMG_1978_c006.jpg,IMG_1978.jpg,cocoashot_amaretto,cocoashot,Amaretto,regular_grid,569.4,662.4,431,354,447,785,878,0,224,224,pending,0.0,174.8,0.0,0.0666,50.03,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_amaretto/IMG_1978_c006.jpg,images/accepted/cocoashot_amaretto/IMG_1978_c006.jpg,70.7073879410043,5
IMG_1979_c016,IMG_1979_c016.jpg,IMG_1979.jpg,cocoashot_bourbon,cocoashot,Bourbon,irregular_manual,785.81,1330.92,413,579,1124,992,1537,0,224,224,pending,0.0,265.04,0.001,0.0021,65.43,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_bourbon/IMG_1979_c016.jpg,images/accepted/cocoashot_bourbon/IMG_1979_c016.jpg,87.66458669366489,1
IMG_1979_c013,IMG_1979_c013.jpg,IMG_1979.jpg,cocoashot_bourbon,cocoashot,Bourbon,irregular_manual,313.69,1261.2,413,107,1055,520,1468,0,224,224,pending,0.0,456.09,0.0007,0.0,59.59,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_bourbon/IMG_1979_c013.jpg,images/accepted/cocoashot_bourbon/IMG_1979_c013.jpg,84.01952123218969,2
IMG_1979_c017,IMG_1979_c017.jpg,IMG_1979.jpg,cocoashot_bourbon,cocoashot,Bourbon,irregular_manual,234.47,1834.76,413,28,1628,441,2041,0,224,224,pending,0.0,370.08,0.0045,0.0,58.61,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_bourbon/IMG_1979_c017.jpg,images/accepted/cocoashot_bourbon/IMG_1979_c017.jpg,81.82567069114027,3
IMG_1984_c005,IMG_1984_c005.jpg,IMG_1984.jpg,cocoashot_bourbon,cocoashot,Bourbon,regular_grid,374.25,1331.56,599,75,1032,674,1631,0,224,224,pending,0.0,230.92,0.0026,0.0203,57.7,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_bourbon/IMG_1984_c005.jpg,images/accepted/cocoashot_bourbon/IMG_1984_c005.jpg,79.2255699384536,4
IMG_1979_c009,IMG_1979_c009.jpg,IMG_1979.jpg,cocoashot_bourbon,cocoashot,Bourbon,irregular_manual,798.48,808.06,413,592,602,1005,1015,0,224,224,pending,0.0,471.3,0.0,0.1665,52.29,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_bourbon/IMG_1979_c009.jpg,images/accepted/cocoashot_bourbon/IMG_1979_c009.jpg,76.92045750760829,5
IMG_1982_c014,IMG_1982_c014.jpg,IMG_1982.jpg,cocoashot_chocolate_cake,cocoashot,Chocolate Cake,regular_grid,895.2,2291.92,697,547,1943,1244,2640,0,224,224,pending,0.0,881.38,0.0055,0.0169,64.32,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_chocolate_cake/IMG_1982_c014.jpg,images/accepted/cocoashot_chocolate_cake/IMG_1982_c014.jpg,90.90049120889834,1
IMG_1982_c015,IMG_1982_c015.jpg,IMG_1982.jpg,cocoashot_chocolate_cake,cocoashot,Chocolate Cake,regular_grid,1598.31,2288.3,697,1250,1940,1947,2637,0,224,224,pending,0.0,596.21,0.0015,0.0084,64.31,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_chocolate_cake/IMG_1982_c015.jpg,images/accepted/cocoashot_chocolate_cake/IMG_1982_c015.jpg,89.7290752413358,2
IMG_1982_c011,IMG_1982_c011.jpg,IMG_1982.jpg,cocoashot_chocolate_cake,cocoashot,Chocolate Cake,regular_grid,1617.24,1577.91,697,1269,1229,1966,1926,0,224,224,pending,0.0,1534.89,0.0029,0.0547,60.36,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_chocolate_cake/IMG_1982_c011.jpg,images/accepted/cocoashot_chocolate_cake/IMG_1982_c011.jpg,89.41746118623935,3
IMG_1982_c010,IMG_1982_c010.jpg,IMG_1982.jpg,cocoashot_chocolate_cake,cocoashot,Chocolate Cake,regular_grid,918.56,1574.69,697,570,1226,1267,1923,0,224,224,pending,0.0,2627.95,0.0023,0.0767,56.97,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_chocolate_cake/IMG_1982_c010.jpg,images/accepted/cocoashot_chocolate_cake/IMG_1982_c010.jpg,88.23735922364303,4
IMG_1982_c007,IMG_1982_c007.jpg,IMG_1982.jpg,cocoashot_chocolate_cake,cocoashot,Chocolate Cake,regular_grid,1636.16,867.53,697,1288,519,1985,1216,0,224,224,pending,0.0,993.87,0.0011,0.1562,59.11,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_chocolate_cake/IMG_1982_c007.jpg,images/accepted/cocoashot_chocolate_cake/IMG_1982_c007.jpg,86.61044830142552,5
IMG_1977_c005,IMG_1977_c005.jpg,IMG_1977.jpg,cocoashot_old_fashioned,cocoashot,Old Fashioned,irregular_manual,1098.11,269.33,277,960,131,1237,408,0,224,224,pending,0.0,427.37,0.0,0.0009,58.28,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_old_fashioned/IMG_1977_c005.jpg,images/accepted/cocoashot_old_fashioned/IMG_1977_c005.jpg,82.51994923244126,1
IMG_1977_c007,IMG_1977_c007.jpg,IMG_1977.jpg,cocoashot_old_fashioned,cocoashot,Old Fashioned,irregular_manual,1524.88,294.27,277,1386,156,1663,433,0,224,224,pending,0.0,416.36,0.0001,0.0003,54.21,,provisional_accept,accept,,data/chocolates/individual_candidates/cocoashot_old_fashioned/IMG_1977_c007.jpg,images/accepted/cocoashot_old_fashioned/IMG_1977_c007.jpg,78.33579663485655,2
