sample_id,flavor_id,flavor_name,donor_rank,source_file,source_image_path,foreground_path,foreground_fraction,border_fraction,soft_fraction,automatic_flag,review_decision,review_notes
IMG_1978_c008,cocoashot_amaretto,Amaretto,1,IMG_1978.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_amaretto/IMG_1978_c008.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_amaretto/IMG_1978_c008.png,0.589365,0.084821,0.577627,,accept,
IMG_1978_c007,cocoashot_amaretto,Amaretto,2,IMG_1978.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_amaretto/IMG_1978_c007.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_amaretto/IMG_1978_c007.png,0.566067,0.0,0.532685,,accept,
IMG_1978_c011,cocoashot_amaretto,Amaretto,3,IMG_1978.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_amaretto/IMG_1978_c011.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_amaretto/IMG_1978_c011.png,0.541036,0.024554,0.489258,,accept,
IMG_1978_c012,cocoashot_amaretto,Amaretto,4,IMG_1978.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_amaretto/IMG_1978_c012.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_amaretto/IMG_1978_c012.png,0.590262,0.097098,0.603296,,accept,
IMG_1978_c006,cocoashot_amaretto,Amaretto,5,IMG_1978.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_amaretto/IMG_1978_c006.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_amaretto/IMG_1978_c006.png,0.534977,0.0,0.509766,,accept,
IMG_1979_c016,cocoashot_bourbon,Bourbon,1,IMG_1979.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_bourbon/IMG_1979_c016.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_bourbon/IMG_1979_c016.png,0.817064,0.416295,0.81521,too_large,accept,
IMG_1979_c013,cocoashot_bourbon,Bourbon,2,IMG_1979.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_bourbon/IMG_1979_c013.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_bourbon/IMG_1979_c013.png,0.140765,0.02567,0.747887,too_small,reject,"Its only golden shade is captured, full chocolate body is missing"
IMG_1979_c017,cocoashot_bourbon,Bourbon,3,IMG_1979.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_bourbon/IMG_1979_c017.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_bourbon/IMG_1979_c017.png,0.148457,0.0,0.13933,too_small,reject,"same, only golden color captured"
IMG_1984_c005,cocoashot_bourbon,Bourbon,4,IMG_1984.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_bourbon/IMG_1984_c005.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_bourbon/IMG_1984_c005.png,0.553213,0.279018,0.548111,touches_border,accept,
IMG_1979_c009,cocoashot_bourbon,Bourbon,5,IMG_1979.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_bourbon/IMG_1979_c009.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_bourbon/IMG_1979_c009.png,0.149055,0.0,0.333307,too_small,reject,same golden olor only captured
IMG_1982_c014,cocoashot_chocolate_cake,Chocolate Cake,1,IMG_1982.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_chocolate_cake/IMG_1982_c014.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_chocolate_cake/IMG_1982_c014.png,0.569376,0.0,0.584702,,accept,
IMG_1982_c015,cocoashot_chocolate_cake,Chocolate Cake,2,IMG_1982.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_chocolate_cake/IMG_1982_c015.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_chocolate_cake/IMG_1982_c015.png,0.565988,0.0,0.550163,,accept,
IMG_1982_c011,cocoashot_chocolate_cake,Chocolate Cake,3,IMG_1982.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_chocolate_cake/IMG_1982_c011.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_chocolate_cake/IMG_1982_c011.png,0.511958,0.0,0.527204,,accept,
IMG_1982_c010,cocoashot_chocolate_cake,Chocolate Cake,4,IMG_1982.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_chocolate_cake/IMG_1982_c010.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_chocolate_cake/IMG_1982_c010.png,0.515824,0.0,0.526168,,accept,
IMG_1982_c007,cocoashot_chocolate_cake,Chocolate Cake,5,IMG_1982.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_chocolate_cake/IMG_1982_c007.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_chocolate_cake/IMG_1982_c007.png,0.487723,0.0,0.494141,,accept,
IMG_1977_c005,cocoashot_old_fashioned,Old Fashioned,1,IMG_1977.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_old_fashioned/IMG_1977_c005.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_old_fashioned/IMG_1977_c005.png,0.740354,0.460938,0.842455,touches_border,accept,
IMG_1977_c007,cocoashot_old_fashioned,Old Fashioned,2,IMG_1977.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_old_fashioned/IMG_1977_c007.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_old_fashioned/IMG_1977_c007.png,0.813975,0.428571,0.825733,too_large,accept,
IMG_1977_c001,cocoashot_old_fashioned,Old Fashioned,3,IMG_1977.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_old_fashioned/IMG_1977_c001.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_old_fashioned/IMG_1977_c001.png,0.843272,0.46875,0.863999,too_large,accept,
IMG_1977_c003,cocoashot_old_fashioned,Old Fashioned,4,IMG_1977.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_old_fashioned/IMG_1977_c003.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_old_fashioned/IMG_1977_c003.png,0.884805,0.63058,0.891402,too_large,accept,
IMG_1977_c022,cocoashot_old_fashioned,Old Fashioned,5,IMG_1977.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_old_fashioned/IMG_1977_c022.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_old_fashioned/IMG_1977_c022.png,0.671038,0.256696,0.981924,touches_border,reject,upper sprinkled golden particles captured body of choccolate is missing
IMG_1980_c008,cocoashot_tequila,Tequila,1,IMG_1980.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_tequila/IMG_1980_c008.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_tequila/IMG_1980_c008.png,0.835459,0.409598,0.859196,too_large,accept,
IMG_1981_c011,cocoashot_tequila,Tequila,2,IMG_1981.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_tequila/IMG_1981_c011.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_tequila/IMG_1981_c011.png,0.78687,0.402902,0.870795,too_large,accept,
IMG_1980_c015,cocoashot_tequila,Tequila,3,IMG_1980.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_tequila/IMG_1980_c015.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_tequila/IMG_1980_c015.png,0.767239,0.362723,0.765765,too_large,accept,
IMG_1981_c015,cocoashot_tequila,Tequila,4,IMG_1981.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_tequila/IMG_1981_c015.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_tequila/IMG_1981_c015.png,0.789421,0.321429,0.853217,too_large,accept,
IMG_1981_c002,cocoashot_tequila,Tequila,5,IMG_1981.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_tequila/IMG_1981_c002.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_tequila/IMG_1981_c002.png,0.018834,0.013393,0.890206,too_small,reject,full chocolate is missing
IMG_1983_c009,cocoashot_whiskey,Whiskey,1,IMG_1983.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_whiskey/IMG_1983_c009.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_whiskey/IMG_1983_c009.png,0.515824,0.133929,0.509108,,accept,
IMG_1983_c013,cocoashot_whiskey,Whiskey,2,IMG_1983.jpg,/homes/mxqasim/Chocolathon/data/chocolates/frozen/chocolate_dataset_v1/images/accepted/cocoashot_whiskey/IMG_1983_c013.jpg,/homes/mxqasim/Chocolathon/data/synthetic_slots/v1/donor_foregrounds/cocoashot_whiskey/IMG_1983_c013.png,0.513672,0.171875,0.407824,touches_border,accept,
