synthetic_id,relative_path,flavor_id,flavor_name,donor_sample_id,donor_source_file,empty_slot_file,empty_source_file,box_size,target_side,offset_x,offset_y,seed
cocoashot_amaretto_pilot_01,data/synthetic_slots/v1/pilot/images/cocoashot_amaretto/cocoashot_amaretto_pilot_01.jpg,cocoashot_amaretto,Amaretto,IMG_1978_c008,IMG_1978.jpg,IMG_2021_r01_c01.jpg,IMG_2021.jpg,6,179,17,31,42
cocoashot_amaretto_pilot_02,data/synthetic_slots/v1/pilot/images/cocoashot_amaretto/cocoashot_amaretto_pilot_02.jpg,cocoashot_amaretto,Amaretto,IMG_1978_c008,IMG_1978.jpg,IMG_2027_r03_c04.jpg,IMG_2027.jpg,30,179,28,20,42
cocoashot_bourbon_pilot_01,data/synthetic_slots/v1/pilot/images/cocoashot_bourbon/cocoashot_bourbon_pilot_01.jpg,cocoashot_bourbon,Bourbon,IMG_1979_c016,IMG_1979.jpg,IMG_2034_r05_c01.jpg,IMG_2034.jpg,50,166,27,22,42
cocoashot_bourbon_pilot_02,data/synthetic_slots/v1/pilot/images/cocoashot_bourbon/cocoashot_bourbon_pilot_02.jpg,cocoashot_bourbon,Bourbon,IMG_1984_c003,IMG_1984.jpg,IMG_2032_r09_c02.jpg,IMG_2032.jpg,50,169,20,41,42
cocoashot_chocolate_cake_pilot_01,data/synthetic_slots/v1/pilot/images/cocoashot_chocolate_cake/cocoashot_chocolate_cake_pilot_01.jpg,cocoashot_chocolate_cake,Chocolate Cake,IMG_1982_c007,IMG_1982.jpg,IMG_2029_r06_c03.jpg,IMG_2029.jpg,30,163,23,39,42
cocoashot_chocolate_cake_pilot_02,data/synthetic_slots/v1/pilot/images/cocoashot_chocolate_cake/cocoashot_chocolate_cake_pilot_02.jpg,cocoashot_chocolate_cake,Chocolate Cake,IMG_1982_c011,IMG_1982.jpg,IMG_2031_r03_c05.jpg,IMG_2031.jpg,50,162,24,34,42
cocoashot_old_fashioned_pilot_01,data/synthetic_slots/v1/pilot/images/cocoashot_old_fashioned/cocoashot_old_fashioned_pilot_01.jpg,cocoashot_old_fashioned,Old Fashioned,IMG_1977_c007,IMG_1977.jpg,IMG_2031_r04_c04.jpg,IMG_2031.jpg,50,165,21,33,42
cocoashot_old_fashioned_pilot_02,data/synthetic_slots/v1/pilot/images/cocoashot_old_fashioned/cocoashot_old_fashioned_pilot_02.jpg,cocoashot_old_fashioned,Old Fashioned,IMG_1977_c001,IMG_1977.jpg,IMG_2030_r04_c03.jpg,IMG_2030.jpg,30,165,26,35,42
cocoashot_tequila_pilot_01,data/synthetic_slots/v1/pilot/images/cocoashot_tequila/cocoashot_tequila_pilot_01.jpg,cocoashot_tequila,Tequila,IMG_1981_c015,IMG_1981.jpg,IMG_2025_r02_c04.jpg,IMG_2025.jpg,16,182,26,30,42
cocoashot_tequila_pilot_02,data/synthetic_slots/v1/pilot/images/cocoashot_tequila/cocoashot_tequila_pilot_02.jpg,cocoashot_tequila,Tequila,IMG_1981_c011,IMG_1981.jpg,IMG_2031_r09_c03.jpg,IMG_2031.jpg,50,155,38,27,42
