synthetic_id,relative_path,flavor_id,flavor_name,donor_sample_id,extraction_method,empty_slot_file,empty_source_file,box_size,target_side,offset_x,offset_y,seed
cocoashot_amaretto_pilot_01,data/synthetic_slots/v1/pilot_v2/images/cocoashot_amaretto/cocoashot_amaretto_pilot_01.jpg,cocoashot_amaretto,Amaretto,IMG_1978_c006,expanded_u2net,IMG_2024_r03_c03.jpg,IMG_2024.jpg,16,159,43,36,2026
cocoashot_amaretto_pilot_02,data/synthetic_slots/v1/pilot_v2/images/cocoashot_amaretto/cocoashot_amaretto_pilot_02.jpg,cocoashot_amaretto,Amaretto,IMG_1978_c006,expanded_u2net,IMG_2034_r02_c02.jpg,IMG_2034.jpg,50,145,36,33,2026
cocoashot_bourbon_pilot_01,data/synthetic_slots/v1/pilot_v2/images/cocoashot_bourbon/cocoashot_bourbon_pilot_01.jpg,cocoashot_bourbon,Bourbon,IMG_1984_c010,expanded_u2net,IMG_2031_r03_c03.jpg,IMG_2031.jpg,50,170,31,29,2026
cocoashot_bourbon_pilot_02,data/synthetic_slots/v1/pilot_v2/images/cocoashot_bourbon/cocoashot_bourbon_pilot_02.jpg,cocoashot_bourbon,Bourbon,IMG_1984_c010,expanded_u2net,IMG_2030_r01_c05.jpg,IMG_2030.jpg,30,180,35,22,2026
cocoashot_chocolate_cake_pilot_01,data/synthetic_slots/v1/pilot_v2/images/cocoashot_chocolate_cake/cocoashot_chocolate_cake_pilot_01.jpg,cocoashot_chocolate_cake,Chocolate Cake,IMG_1982_c007,expanded_u2net,IMG_2033_r03_c03.jpg,IMG_2033.jpg,50,168,33,32,2026
cocoashot_chocolate_cake_pilot_02,data/synthetic_slots/v1/pilot_v2/images/cocoashot_chocolate_cake/cocoashot_chocolate_cake_pilot_02.jpg,cocoashot_chocolate_cake,Chocolate Cake,IMG_1982_c007,expanded_u2net,IMG_2032_r07_c02.jpg,IMG_2032.jpg,50,183,26,24,2026
cocoashot_old_fashioned_pilot_01,data/synthetic_slots/v1/pilot_v2/images/cocoashot_old_fashioned/cocoashot_old_fashioned_pilot_01.jpg,cocoashot_old_fashioned,Old Fashioned,IMG_1977_c007,manual_polygon,IMG_2030_r06_c03.jpg,IMG_2030.jpg,30,181,19,20,2026
cocoashot_old_fashioned_pilot_02,data/synthetic_slots/v1/pilot_v2/images/cocoashot_old_fashioned/cocoashot_old_fashioned_pilot_02.jpg,cocoashot_old_fashioned,Old Fashioned,IMG_1977_c007,manual_polygon,IMG_2033_r09_c03.jpg,IMG_2033.jpg,50,154,41,36,2026
cocoashot_tequila_pilot_01,data/synthetic_slots/v1/pilot_v2/images/cocoashot_tequila/cocoashot_tequila_pilot_01.jpg,cocoashot_tequila,Tequila,IMG_1981_c002,manual_polygon,IMG_2033_r01_c03.jpg,IMG_2033.jpg,50,179,21,32,2026
cocoashot_tequila_pilot_02,data/synthetic_slots/v1/pilot_v2/images/cocoashot_tequila/cocoashot_tequila_pilot_02.jpg,cocoashot_tequila,Tequila,IMG_1981_c002,manual_polygon,IMG_2028_r06_c05.jpg,IMG_2028.jpg,30,170,31,27,2026
