sample_id,relative_path,split,label_type,flavor_id,flavor_name,donor_sample_id,donor_source_file,extraction_method,empty_slot_file,empty_source_file,box_size,row,column,render_index,target_side,offset_x,offset_y,seed
IMG_2035_r01_c01_render00,data/synthetic_slots/v2_10_slot/images/train/cocoashot_amaretto/IMG_2035_r01_c01_render00.jpg,train,occupied,cocoashot_amaretto,Amaretto,IMG_1978_c006,IMG_1978.jpg,expanded_u2net,IMG_2035_r01_c01.jpg,IMG_2035.jpg,10,1,1,0,161,42,29,20260917
IMG_2035_r01_c01_render01,data/synthetic_slots/v2_10_slot/images/train/cocoashot_bourbon/IMG_2035_r01_c01_render01.jpg,train,occupied,cocoashot_bourbon,Bourbon,IMG_1984_c010,IMG_1984.jpg,expanded_u2net,IMG_2035_r01_c01.jpg,IMG_2035.jpg,10,1,1,1,158,34,39,20260917
IMG_2035_r01_c01_render02,data/synthetic_slots/v2_10_slot/images/train/cocoashot_chocolate_cake/IMG_2035_r01_c01_render02.jpg,train,occupied,cocoashot_chocolate_cake,Chocolate Cake,IMG_1982_c007,IMG_1982.jpg,expanded_u2net,IMG_2035_r01_c01.jpg,IMG_2035.jpg,10,1,1,2,181,15,22,20260917
IMG_2035_r01_c02_render00,data/synthetic_slots/v2_10_slot/images/train/cocoashot_old_fashioned/IMG_2035_r01_c02_render00.jpg,train,occupied,cocoashot_old_fashioned,Old Fashioned,IMG_1977_c007,IMG_1977.jpg,manual_polygon,IMG_2035_r01_c02.jpg,IMG_2035.jpg,10,1,2,0,178,19,28,20260917
IMG_2035_r01_c02_render01,data/synthetic_slots/v2_10_slot/images/train/cocoashot_tequila/IMG_2035_r01_c02_render01.jpg,train,occupied,cocoashot_tequila,Tequila,IMG_1981_c002,IMG_1981.jpg,manual_polygon,IMG_2035_r01_c02.jpg,IMG_2035.jpg,10,1,2,1,158,34,44,20260917
IMG_2035_r01_c02_render02,data/synthetic_slots/v2_10_slot/images/train/cocoashot_whiskey/IMG_2035_r01_c02_render02.jpg,train,occupied,cocoashot_whiskey,Whiskey,IMG_1983_c010,IMG_1983.jpg,expanded_u2net,IMG_2035_r01_c02.jpg,IMG_2035.jpg,10,1,2,2,180,24,16,20260917
IMG_2035_r02_c01_render00,data/synthetic_slots/v2_10_slot/images/train/truffle_amaretto/IMG_2035_r02_c01_render00.jpg,train,occupied,truffle_amaretto,Amaretto,IMG_1970_c020,IMG_1970.jpg,expanded_u2net,IMG_2035_r02_c01.jpg,IMG_2035.jpg,10,2,1,0,176,18,23,20260917
IMG_2035_r02_c01_render01,data/synthetic_slots/v2_10_slot/images/train/truffle_bananas_foster/IMG_2035_r02_c01_render01.jpg,train,occupied,truffle_bananas_foster,Bananas Foster,IMG_1960_c010,IMG_1960.jpg,expanded_isnet,IMG_2035_r02_c01.jpg,IMG_2035.jpg,10,2,1,1,149,34,34,20260917
IMG_2035_r02_c01_render02,data/synthetic_slots/v2_10_slot/images/train/truffle_brownie_batter/IMG_2035_r02_c01_render02.jpg,train,occupied,truffle_brownie_batter,Brownie Batter,IMG_1976_c016,IMG_1976.jpg,expanded_u2net,IMG_2035_r02_c01.jpg,IMG_2035.jpg,10,2,1,2,180,31,23,20260917
IMG_2035_r02_c02_render00,data/synthetic_slots/v2_10_slot/images/train/truffle_caramel_apple_cider/IMG_2035_r02_c02_render00.jpg,train,occupied,truffle_caramel_apple_cider,Caramel Apple Cider,IMG_1964_c006,IMG_1964.jpg,expanded_u2net,IMG_2035_r02_c02.jpg,IMG_2035.jpg,10,2,2,0,174,30,21,20260917
