image,expected_capacity,predicted_capacity,capacity_correct,expected_slots,corner_error_pixels,corner_error_normalized,auto_slots_comparable,auto_expected_occupied,auto_predicted_occupied,auto_false_empty,auto_occupancy_correct,auto_flavor_correct,auto_count_abs_error,auto_exact_flavor_counts,assisted_slots_comparable,assisted_expected_occupied,assisted_predicted_occupied,assisted_false_empty,assisted_occupancy_correct,assisted_flavor_correct,assisted_count_abs_error,assisted_exact_flavor_counts
IMG_2019_size6_render00.jpg,6,6,True,6,183.7767791748047,0.0364636466616676,True,6,6,0,6,6,0,True,True,6,6,0,6,6,0,True
IMG_2019_size6_render01.jpg,6,6,True,6,154.4987335205078,0.030654510619148374,True,6,6,0,6,6,0,True,True,6,6,0,6,6,0,True
IMG_2019_size6_render02.jpg,6,6,True,6,155.7227783203125,0.030897376650855655,True,6,6,0,6,6,0,True,True,6,6,0,6,6,0,True
IMG_2020_size6_render00.jpg,6,6,True,6,204.79827880859375,0.04063457912868924,True,6,6,0,6,5,2,False,True,6,6,0,6,6,0,True
IMG_2020_size6_render01.jpg,6,6,True,6,228.16571044921875,0.04527097429547991,True,6,6,0,6,5,2,False,True,6,6,0,6,6,0,True
IMG_2020_size6_render02.jpg,6,6,True,6,222.35873413085938,0.04411879645453559,True,6,6,0,6,4,4,False,True,6,6,0,6,6,0,True
IMG_2021_size6_render00.jpg,6,6,True,6,37.615577697753906,0.00746340827336387,True,6,6,0,6,6,0,True,True,6,6,0,6,6,0,True
IMG_2021_size6_render01.jpg,6,6,True,6,34.84877014160156,0.00691443852015904,True,6,6,0,6,6,0,True,True,6,6,0,6,6,0,True
IMG_2021_size6_render02.jpg,6,6,True,6,42.84556579589844,0.008501104324583023,True,6,6,0,6,6,0,True,True,6,6,0,6,6,0,True
IMG_2022_size16_render00.jpg,16,16,True,16,106.52727508544922,0.021136364104255796,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2022_size16_render01.jpg,16,16,True,16,119.21712493896484,0.02365419145614382,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2022_size16_render02.jpg,16,16,True,16,156.79861450195312,0.031110836210704984,True,16,16,0,16,12,8,False,True,16,16,0,16,16,0,True
IMG_2023_size16_render00.jpg,16,16,True,16,74.48370361328125,0.014778512621682787,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2023_size16_render01.jpg,16,16,True,16,97.70840454101562,0.019386588202582464,True,16,16,0,16,14,2,False,True,16,16,0,16,16,0,True
IMG_2023_size16_render02.jpg,16,16,True,16,131.85299682617188,0.02616130889408172,True,16,16,0,16,13,4,False,True,16,16,0,16,16,0,True
IMG_2024_size16_render00.jpg,16,16,True,16,74.3475112915039,0.014751490335615854,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2024_size16_render01.jpg,16,16,True,16,55.953369140625,0.011101858956473214,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2024_size16_render02.jpg,16,16,True,16,56.7114372253418,0.01125226929074242,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2025_size16_render00.jpg,16,16,True,16,185.42678833007812,0.036791029430571054,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2025_size16_render01.jpg,16,16,True,16,118.46540832519531,0.02350504133436415,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2025_size16_render02.jpg,16,16,True,16,148.29421997070312,0.029423456343393477,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2026_size16_render00.jpg,16,16,True,16,46.179603576660156,0.009162619757273841,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2026_size16_render01.jpg,16,16,True,16,56.2626838684082,0.011163230926271469,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2026_size16_render02.jpg,16,16,True,16,119.80514526367188,0.02377086215549045,True,16,16,0,16,16,0,True,True,16,16,0,16,16,0,True
IMG_2027_size30_render00.jpg,30,30,True,30,64.6646728515625,0.012830292232452876,True,30,30,0,30,30,0,True,True,30,30,0,30,30,0,True
IMG_2027_size30_render01.jpg,30,30,True,30,76.81111907958984,0.015240301404680525,True,30,30,0,30,28,4,False,True,30,30,0,30,30,0,True
IMG_2027_size30_render02.jpg,30,30,True,30,70.14107513427734,0.01391687998695979,True,30,30,0,30,30,0,True,True,30,30,0,30,30,0,True
IMG_2028_size30_render00.jpg,30,30,True,30,423.4683532714844,0.08402149866497706,True,30,30,0,30,15,12,False,True,30,30,0,30,30,0,True
IMG_2028_size30_render01.jpg,30,30,True,30,528.1688232421875,0.10479540143694197,True,30,30,0,30,4,20,False,True,30,30,0,30,30,0,True
IMG_2028_size30_render02.jpg,30,30,True,30,510.76617431640625,0.10134249490404885,True,30,29,1,29,6,17,False,True,30,30,0,30,30,0,True
IMG_2029_size30_render00.jpg,30,30,True,30,318.1788330078125,0.06313072083488343,True,30,29,1,29,20,11,False,True,30,30,0,30,30,0,True
IMG_2029_size30_render01.jpg,30,30,True,30,334.61370849609375,0.06639160882859003,True,30,28,2,28,19,14,False,True,30,30,0,30,30,0,True
IMG_2029_size30_render02.jpg,30,30,True,30,406.67584228515625,0.08068965124705481,True,30,26,4,26,15,16,False,True,30,30,0,30,30,0,True
IMG_2030_size30_render00.jpg,30,16,False,30,438.98779296875,0.08710075257316469,False,30,16,14,0,0,14,False,True,30,30,0,30,30,0,True
IMG_2030_size30_render01.jpg,30,16,False,30,478.2845764160156,0.09489773341587611,False,30,16,14,0,0,14,False,True,30,30,0,30,30,0,True
IMG_2030_size30_render02.jpg,30,16,False,30,422.7789306640625,0.08388470846509176,False,30,16,14,0,0,14,False,True,30,30,0,30,30,0,True
IMG_2031_size50_render00.jpg,50,50,True,50,255.0377197265625,0.05060272216796875,True,50,50,0,50,32,20,False,True,50,50,0,50,50,0,True
IMG_2031_size50_render01.jpg,50,50,True,50,306.3652648925781,0.060786758907257564,True,50,50,0,50,19,22,False,True,50,50,0,50,50,0,True
IMG_2031_size50_render02.jpg,50,50,True,50,302.1751708984375,0.059955391051277285,True,50,50,0,50,19,26,False,True,50,50,0,50,50,0,True
IMG_2032_size50_render00.jpg,50,50,True,50,403.71697998046875,0.08010257539295015,True,50,50,0,50,18,16,False,True,50,50,0,50,50,0,True
IMG_2032_size50_render01.jpg,50,50,True,50,317.1435852050781,0.06292531452481709,True,50,50,0,50,26,16,False,True,50,50,0,50,50,0,True
IMG_2032_size50_render02.jpg,50,50,True,50,446.7724304199219,0.08864532349601624,True,50,50,0,50,22,20,False,True,50,50,0,50,50,0,True
IMG_2033_size50_render00.jpg,50,50,True,50,297.3943786621094,0.05900682116311694,True,50,48,2,48,16,22,False,True,50,50,0,50,50,0,True
IMG_2033_size50_render01.jpg,50,50,True,50,307.44879150390625,0.061001744346013145,True,50,49,1,49,15,27,False,True,50,50,0,50,50,0,True
IMG_2033_size50_render02.jpg,50,50,True,50,364.7988586425781,0.07238072592114646,True,50,50,0,50,14,20,False,True,50,50,0,50,50,0,True
IMG_2034_size50_render00.jpg,50,6,False,50,257.91986083984375,0.05117457556346106,False,50,6,44,0,0,52,False,True,50,50,0,50,50,0,True
IMG_2034_size50_render01.jpg,50,6,False,50,292.3145446777344,0.05799891759478857,False,50,6,44,0,0,46,False,True,50,50,0,50,50,0,True
IMG_2034_size50_render02.jpg,50,6,False,50,284.6737060546875,0.05648287818545387,False,50,6,44,0,0,46,False,True,50,50,0,50,50,0,True
