image,ground_truth,filled_only,expected_capacity,predicted_capacity,capacity_correct,expected_slots,predicted_slots,expected_occupied,predicted_occupied,false_empty,flavor_count_abs_error,exact_flavor_counts,review_slots,seconds
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2019_size6_render00.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2019_size6_render00.csv,True,6,6,True,6,6,6,6,0,0,True,0,0.27629187796264887
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2019_size6_render01.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2019_size6_render01.csv,True,6,6,True,6,6,6,6,0,0,True,0,0.22363572008907795
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2019_size6_render02.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2019_size6_render02.csv,True,6,6,True,6,6,6,6,0,0,True,0,0.21595216868445277
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2020_size6_render00.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2020_size6_render00.csv,True,6,6,True,6,6,6,6,0,2,False,0,0.24567817198112607
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2020_size6_render01.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2020_size6_render01.csv,True,6,6,True,6,6,6,6,0,2,False,0,0.2831804542802274
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2020_size6_render02.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2020_size6_render02.csv,True,6,6,True,6,6,6,6,0,4,False,1,0.2661762507632375
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2021_size6_render00.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2021_size6_render00.csv,True,6,6,True,6,6,6,6,0,0,True,0,0.2609207690693438
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2021_size6_render01.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2021_size6_render01.csv,True,6,6,True,6,6,6,6,0,0,True,0,0.23937489790841937
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2021_size6_render02.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2021_size6_render02.csv,True,6,6,True,6,6,6,6,0,0,True,0,0.24442517384886742
/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/images/IMG_2022_size16_render00.jpg,/homes/mxqasim/Chocolathon/data/synthetic_filled_boxes/v4/ground_truth/IMG_2022_size16_render00.csv,True,16,16,True,16,16,16,16,0,0,True,0,0.6248565278947353
